COUNTRY;Regional Definition;AIM/CGE;GCAM;IMAGE;MESSAGE-GLOBIOM;ReMIND-MAGPIE;WITCH-GLOBIOM
MADAGASCAR;MAF;MAF;MAF;MAF;MAF;MAF;MAF
MALAWI;MAF;MAF;MAF;MAF;MAF;MAF;MAF
MALAYSIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA
MALDIVES;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA
MALI;MAF;MAF;MAF;MAF;MAF;MAF;MAF
MALTA;OECD;OECD;OECD;OECD;OECD;OECD;MAF
MARTINIQUE;LAM;LAM;LAM;LAM;LAM;MAF;LAM
MAURITANIA;MAF;MAF;MAF;MAF;MAF;MAF;MAF
MAURITIUS;MAF;MAF;MAF;MAF;MAF;MAF;MAF
MAYOTTE;MAF;MAF;ASIA;MAF;n/a;n/a;MAF
MEXICO;LAM;LAM;LAM;LAM;LAM;LAM;LAM
MICRONESIA, FEDERATED STATES OF;ASIA;ASIA;ASIA;ASIA;n/a;n/a;ASIA
MOLDOVA, REPUBLIC OF;REF;REF;OECD;REF;REF;OECD;REF
MONACO;OECD;OECD;OECD;OECD;OECD;n/a;OECD
MONGOLIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA
MONTENEGRO;OECD;OECD;n/a;OECD;OECD;OECD;REF
MOROCCO;MAF;MAF;MAF;MAF;MAF;MAF;MAF
MOZAMBIQUE;MAF;MAF;MAF;MAF;MAF;MAF;MAF
MYANMAR;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA
NAMIBIA;MAF;MAF;MAF;MAF;MAF;MAF;MAF
NEPAL;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA
NETHERLANDS;OECD;OECD;OECD;OECD;OECD;OECD;OECD
NETHERLANDS ANTILLES;LAM;LAM;LAM;LAM;LAM;n/a;LAM
NEW CALEDONIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA
NEW ZEALAND;OECD;OECD;OECD;OECD;OECD;OECD;OECD
NICARAGUA;LAM;LAM;LAM;LAM;LAM;LAM;LAM
NIGER;MAF;MAF;MAF;MAF;MAF;MAF;MAF
NIGERIA;MAF;MAF;MAF;MAF;MAF;MAF;MAF
NORWAY;OECD;OECD;OECD;OECD;OECD;OECD;OECD
OMAN;MAF;MAF;MAF;MAF;MAF;MAF;MAF
PAKISTAN;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA
PANAMA;LAM;LAM;LAM;LAM;LAM;LAM;LAM
PAPUA NEW GUINEA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA
PARAGUAY;LAM;LAM;LAM;LAM;LAM;LAM;LAM
PERU;LAM;LAM;LAM;LAM;LAM;LAM;LAM
PHILIPPINES;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA
POLAND;OECD;OECD;OECD;OECD;OECD;OECD;OECD
PORTUGAL;OECD;OECD;OECD;OECD;OECD;OECD;OECD
PUERTO RICO;OECD;LAM;OECD;OECD;OECD;OECD;LAM
QATAR;MAF;MAF;MAF;MAF;MAF;MAF;MAF
RÉUNION;MAF;MAF;MAF;MAF;MAF;MAF;MAF
ROMANIA;OECD;OECD;n/a;OECD;OECD;OECD;OECD
RUSSIAN FEDERATION;REF;REF;REF;REF;REF;REF;REF
RWANDA;MAF;MAF;MAF;MAF;MAF;MAF;MAF
SAMOA;ASIA;ASIA;ASIA;ASIA;ASIA;n/a;ASIA
SAN MARINO;OECD;OECD;OECD;OECD;OECD;n/a;OECD
SAUDI ARABIA;MAF;MAF;MAF;MAF;MAF;MAF;MAF
SENEGAL;MAF;MAF;MAF;MAF;MAF;MAF;MAF
SERBIA;OECD;OECD;n/a;OECD;OECD;OECD;REF
SIERRA LEONE;MAF;MAF;MAF;MAF;MAF;MAF;MAF
SINGAPORE;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA
SLOVAKIA;OECD;OECD;OECD;OECD;OECD;OECD;OECD
SLOVENIA;OECD;OECD;OECD;OECD;OECD;OECD;OECD
SOLOMON ISLANDS;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA
SOMALIA;MAF;MAF;MAF;MAF;MAF;MAF;MAF
SOUTH AFRICA;MAF;MAF;MAF;MAF;MAF;OECD;OECD
SPAIN;OECD;OECD;OECD;OECD;OECD;OECD;OECD
SRI LANKA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA
SUDAN;MAF;MAF;MAF;MAF;MAF;MAF;MAF
SURINAME;LAM;LAM;LAM;LAM;LAM;LAM;LAM
SWAZILAND;MAF;MAF;MAF;MAF;MAF;MAF;MAF
SWEDEN;OECD;OECD;OECD;OECD;OECD;OECD;OECD
SWITZERLAND;OECD;OECD;OECD;OECD;OECD;OECD;OECD
SYRIAN ARAB REPUBLIC;MAF;MAF;MAF;MAF;MAF;MAF;MAF
TAIWAN, PROVINCE OF CHINA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA
TAJIKISTAN;REF;REF;ASIA;REF;REF;MAF;REF
TANZANIA, UNITED REPUBLIC OF;MAF;MAF;MAF;MAF;MAF;MAF;MAF
THAILAND;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA
TOGO;MAF;MAF;MAF;MAF;MAF;MAF;MAF
TRINIDAD AND TOBAGO;LAM;LAM;LAM;LAM;LAM;LAM;LAM
TUNISIA;MAF;MAF;MAF;MAF;MAF;MAF;MAF
TURKEY;OECD;OECD;OECD;OECD;OECD;OECD;REF
TURKMENISTAN;REF;REF;ASIA;REF;REF;MAF;REF
UGANDA;MAF;MAF;MAF;MAF;MAF;MAF;MAF
UKRAINE;REF;REF;OECD;REF;REF;OECD;REF
UNITED ARAB EMIRATES;MAF;MAF;MAF;MAF;MAF;MAF;MAF
UNITED KINGDOM;OECD;OECD;OECD;OECD;OECD;OECD;OECD
UNITED STATES;OECD;OECD;OECD;OECD;OECD;OECD;OECD
URUGUAY;LAM;LAM;LAM;LAM;LAM;LAM;LAM
UZBEKISTAN;REF;REF;ASIA;REF;REF;MAF;REF
VANUATU;ASIA;ASIA;ASIA;ASIA;ASIA;n/a;ASIA
VENEZUELA;LAM;LAM;LAM;LAM;LAM;LAM;LAM
VIET NAM;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA
VIRGIN ISLANDS, U.S.;LAM;LAM;OECD;LAM;n/a;n/a;LAM
WESTERN SAHARA;MAF;MAF;MAF;MAF;MAF;MAF;MAF
YEMEN;MAF;MAF;MAF;MAF;MAF;MAF;MAF
ZAMBIA;MAF;MAF;MAF;MAF;MAF;MAF;MAF
ZIMBABWE;MAF;MAF;MAF;MAF;MAF;MAF;MAF
PALESTINE, STATE OF;MAF;n/a;n/a;MAF;n/a;n/a;n/a
SOUTH SUDAN;MAF;n/a;n/a;MAF;n/a;n/a;n/a
